SUR,46000.00,48000.00,56000.00
SVK,55000.00,56000.00,63000.00
SVN,59000.00,60000.00,66000.00
SWE,47000.00,50000.00,47000.00
SWZ,40000.00,42000.00,52000.00
SYC,62000.00,65000.00,74000.00
SYR,51000.00,53000.00,60000.00
TCD,14000.00,16000.00,23000.00
TGO,22000.00,24000.00,36000.00
THA,30000.00,32000.00,40000.00
TJK,35000.00,37000.00,47000.00
TKM,47000.00,47000.00,45000.00
TON,90000.00,91000.00,92000.00
TTO,65000.00,68000.00,81000.00
TUN,50000.00,51000.00,61000.00
TUR,57000.00,57000.00,66000.00
TZA,20000.00,21000.00,29000.00
UGA,14000.00,15000.00,24000.00
UKR,45000.00,45000.00,49000.00
URY,57000.00,61000.00,64000.00
USA,71000.00,74000.00,77000.00
UZB,43000.00,46000.00,50000.00
VCT,49000.00,51000.00,58000.00
VEN,62000.00,65000.00,67000.00
VNM,5000.00,6000.00,12000.00
VUT,57000.00,60000.00,67000.00
WSM,79000.00,80000.00,84000.00
YEM,26000.00,27000.00,32000.00
ZAF,53000.00,54000.00,68000.00
ZMB,14000.00,13000.00,20000.00
ZWE,31000.00,32000.00,51000.00
