Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SSA,,33640.64297,33231.49044,32690.02314,31995.22379,31207.66769,30380.42112,29711.87861,29161.8442,28842.1088,28489.21811,28065.68023,27439.57388,26666.27865,25851.19068,25160.58612,24746.8266,24544.32829,24381.46711,24284.18374,24326.26264,24504.122
SDN,,42100,38700,35900,33900,32700,32400,32700,33000,32700,31700,30400,29400,29600,30600,32000,33300,34800,36600,38100,39200,39400
SUR,,17700,16600,16500,15900,15500,15700,16200,17100,17500,17900,18000,18000,17500,16500,15700,15000,14700,13900,12900,11900,11400
SWZ,,16100,17300,18500,20700,22600,23800,23000,21100,19000,17700,16500,15700,15500,16800,18700,20900,23700,27300,29700,30100,27000
SWE,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
CHE,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
SYR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
TJK,,31000,26100,27800,31500,34000,37000,37700,39000,39500,40800,40500,38800,36200,34500,34300,34900,36000,36700,36400,34600,31700
TZA,,29400,31800,34600,37000,38500,38900,39100,39100,39800,40400,40400,39300,37800,36200,35100,34600,34900,36100,37300,38500,38800
THA,,43800,41400,39800,37200,33700,29500,26500,24100,22200,19600,17400,15600,14200,12800,11200,10100,9600,9500,8900,8100,7300
TMP,,40100,34800,34500,34900,37300,38900,40500,39500,36500,32000,28200,26700,26600,27500,28500,29300,29300,30100,32200,36200,38200
TGO,,32800,33700,30800,28300,26800,26300,26400,26400,26100,25200,24000,22600,21300,20600,20400,20500,20500,19800,18600,17300,16500
TON,,,,,,,,,,,,,,,,,,,,,,
TTO,,13600,14900,15500,15200,14800,14700,14500,14000,13200,13000,13500,14200,14400,14000,13300,12700,12000,11100,10100,9500,9300
TUN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
TUR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
TKM,,9500,7100,8700,9700,10200,10000,9700,9200,8800,8100,7300,6500,6000,5700,5500,5200,5000,5000,5000,5000,5000
TCA,,,,,,,,,,,,,,,,,,,,,,
TUV,,,,,,,,,,,,,,,,,,,,,,
UGA,,26600,28200,28700,29500,30600,31400,30600,28700,27300,26500,26200,25700,25700,26600,27900,29300,30300,31000,31800,33000,34600
UKR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
ARE,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GBR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
USA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
UMC,,18198.73919,17741.3735,16387.82561,15333.83358,14612.22478,14123.72194,13736.17722,13470.67153,13213.21578,12652.53227,12615.63574,12370.67501,12098.33425,11734.65447,11137.31322,10853.71547,10358.33479,9888.126098,9876.680371,9787.355605,9581.326629
URY,,7300,5200,5100,5300,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
UZB,,5000,5000,5000,5000,5000,5900,7900,10600,12700,14700,15200,14300,12700,10900,9800,9000,8500,7900,7200,6700,6100
VUT,,11300,11700,11600,10900,9900,8900,8300,8200,8400,8600,8400,8000,7700,7400,7100,6800,6700,6800,7300,7900,8500
VEN,,13500,13200,14100,15200,16400,17700,17500,16300,15400,15500,16200,15000,13200,11200,9700,7600,5600,5000,5000,5000,5000
VNM,,46900,43400,37800,33300,30600,29100,27800,25600,23600,22000,20900,19800,18300,16900,15600,14500,13500,12500,11300,10100,9000
VIR,,,,,,,,,,,,,,,,,,,,,,
WBG,,17900,17500,16600,15600,14900,15500,17300,19900,21400,21200,19300,17300,16200,16500,18100,20600,23600,26400,28600,30100,31000
WLD,,19265.37316,22632.908,22017.41127,21218.79447,20328.56157,19489.0071,18813.51526,18394.43587,18072.71932,15381.67328,17842.84273,17652.27488,17265.63975,16932.38285,14245.59818,15984.56892,15486.04735,13235.01925,14966.47494,14777.4182,12762.36057
YEM,,28600,28500,29500,30600,31000,30800,30300,30100,30100,30400,30900,31500,32000,32100,31700,31000,30600,30600,31200,31800,32400
ZMB,,34300,35300,34700,34400,35500,37400,39600,41300,43100,43900,44300,44200,45000,46600,48300,49400,48800,47500,46700,46800,47400
ZWE,,44100,46000,46300,45800,44800,43900,43800,44000,43900,43100,42300,41500,40900,39700,38200,36400,35200,33900,33300,32800,32800
